post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
185900577.dev-stack,2026-01-20T06:59:00.000Z,true,,,newsletter,everyone,Dev stack,"Soubor technologií, nástrojů a postupů používaných k vývoji, nasazení a provozu webu či aplikace (front-end, back-end, databáze, infrastruktura).",
185352957.108,2026-02-02T06:59:18.819Z,true,2026-02-02T06:59:19.183Z,2026-02-02T06:59:19.183Z,newsletter,everyone,Když je rychlejší nástroj vytvořit než použít. ŘSoW#108,Tři pilíře UX. Jak zlepšovat vizuální design. Když šum dává obrazu smysl. Designéři jako orchestrátoři AI. Experience strategy. Proč se designoví lídři cítí bezmocní? Je design review ztrátou času?,
185002761.cdn,2026-01-15T06:59:00.000Z,true,,,newsletter,everyone,Content delivery network (CDN),"Distribuovaná síť serverů, která doručuje webový obsah z míst blízkých uživatelům, aby zrychlila odezvu, zvýšila spolehlivost a snížila zátěž původního serveru.",
184997144.gsc-opportunity-mapper,2026-01-16T06:59:00.000Z,true,,,newsletter,everyone,GSC Opportunity Mapper odhaduje potenciál klíčových slov,"Nástroj, který promění exporty z Google Search Console v SEO plán se zaměřením na prioritizaci, strukturu a realistické příležitosti.",
184554313.conversational-ui,2026-01-14T06:59:00.000Z,true,,,newsletter,everyone,Konverzační rozhraní,"Interakční vrstva, která umožňuje lidem získávat informace nebo řešit úkoly prostřednictvím dialogu v přirozeném jazyce namísto práce s ovládacími prvky a nabídkami.",
184525843.107,2026-01-26T06:59:19.768Z,true,2026-01-26T06:59:20.002Z,2026-01-26T06:59:20.002Z,newsletter,everyone,Codeless ≠ No‑code. ŘSoW#107,Jednorožci se vracejí do UX. SEO neumírá. Zpracování velkých dat bez cloudu. Pravidla designové kritiky. Agile a UX si nerozumí. Pixel perfect brzdí design. Co dělá produktový manažer? Agentní nákupy.,
184372196.html,2026-01-13T06:59:47.766Z,true,,,newsletter,everyone,HyperText Markup Language (HTML),"Standardizovaný značkovací jazyk, který určuje strukturu, význam a dlouhodobou srozumitelnost webového obsahu napříč zařízeními, platformami a časem.",
184306086.jeffrey-zeldman,2026-01-12T12:33:02.720Z,true,,,newsletter,everyone,Jeffrey Zeldman: zastánce otevřených webových standardů,"Osobnost hnutí za otevřené webové standardy, která pomohla nasměrovat web od proprietárních triků k udržitelnému, přístupnému a vzájemně kompatibilnímu prostředí.",
184094385.web-check,2026-01-09T06:59:00.000Z,true,,,newsletter,everyone,Web Check: Co o vašem webu prozradí prvních pár sekund,"Ukazuje, jaká o sobě váš web prozrazuje technická nastavení, strukturu i reputační signály. Pomáhá odhalit chyby v konfiguraci, zbytečnou expozici a prostor pro optimalizaci.",
184082336.aaron-swartz,2026-01-08T06:59:00.000Z,true,,,newsletter,everyone,Aaron Swartz prosazoval sdílení a otevřený přístup k vědění na webu,"Chápal web jako občanskou infrastrukturu – prostor, kde se technický návrh, právní rámce a etická odpovědnost nedají oddělit.",
183702597.moodboard,2026-01-07T06:59:23.170Z,true,,,newsletter,everyone,Moodboard,"Slouží k vymezení a sladění emočního a vizuálního směru digitálního produktu dříve, než se začnou řešit konkrétní návrhové detaily.",
183612316.mlp,2026-01-06T06:59:19.572Z,true,,,newsletter,everyone,Minimum lovable product,"Nejmenší ucelená verze digitálního produktu, která řeší skutečný problém a získává důvěru uživatelů díky srozumitelnosti, péči a pozitivní první zkušenosti.",
183535994.106,2026-01-19T06:59:31.173Z,true,2026-01-19T06:59:31.308Z,2026-01-19T06:59:31.308Z,newsletter,everyone,Každý si staví svůj software. ŘSoW#106,Zlepšete se ve vizuálním designu. Ovládněte design tokeny. Figma není mrtvá. Uspějte na trhu práce. AI v UI. Rok podle Nielsena. Přístupnost prospěje všem. Přehodnoťte metriky. UX karty.,
183378744.quickleapio,2026-01-02T06:59:00.000Z,true,,,newsletter,everyone,QuickLeap.io nabízí pokročilé přesměrování bez nutnosti vlastní infrastruktury,"Přesměrování webu působí jako detail – dokud se nepokazí migrace nebo analytika. QuickLeap.io z nich dělá samostatnou službu s pravidly, automatizací a API.",
183259458.christina-wodtke,2026-01-01T06:59:00.000Z,true,,,newsletter,everyone,"Christina Wodtke a navrhování systémů, se kterými mohou lidé žít ","Designérka, autorka a pedagožka, která pojímá human-centered design jako navrhování systémů tak, aby lidé mohli porozumět světu, jednat v něm a dlouhodobě v něm obstát.",
182974675.dark-patterns,2025-12-31T06:59:30.275Z,true,,,newsletter,everyone,Temné vzory,"Dark patterns jsou návrhové vzory pro uživatelská rozhraní, které nenápadně ovlivňují rozhodování uživatelů a oslabují jejich svobodnou a informovanou volbu.",
182974152.105,2026-01-12T06:59:00.000Z,true,2026-01-12T07:00:03.603Z,2026-01-12T07:00:03.603Z,newsletter,everyone,Přežije open-source v éře programujících AI agentů? ŘSoW#105,"Co mění levná realizace? Můžete designovat, co nepoužíváte? RSS pořád umí. Co mění AI v designu? Jak zvolit výzkumnou metodu. Uchopte svou kariéru. Checklist pro tvorbu webu. Je třeba chápat byznys.",
182808893.104,2026-01-05T06:59:19.477Z,true,2026-01-05T06:59:19.684Z,2026-01-05T06:59:19.684Z,newsletter,everyone,Trendy pro rok 2026. ŘSoW#104,"Víme, kdo vyhrál Design System Awards. Je výzkumná fáze mýtus? Bez uživatelů to není HCD. Jak na repozitář v Notion. Statické soubory místo CMS. ASCII je nový Balsamiq. Psát kód nestačí. Co je HCD+?",
182740485.mymind,2025-12-28T06:59:19.625Z,true,,,newsletter,everyone,"MyMind: druhý mozek designéra
","MyMind je nástroj na ukládání inspirace, poznámek a referencí. Nesnaží se vás naučit nový systém práce – je navržený, aby respektoval způsob, jakým lidé přemýšlejí.",
182672286.don-norman,2025-12-27T06:59:48.478Z,true,,,newsletter,everyone,Don Norman – navrhovat s odpovědností v každodenním životě,"Přesunul odpovědnost za chyby, použitelnost i etiku z uživatelů na samotný návrh. Vymezil intelektuální základy uživatelské zkušenosti a otevřel otázku morální odpovědnosti za design.",
182595693.passkey,2025-12-26T06:59:54.047Z,true,,,newsletter,everyone,Přístupový klíč ,"Moderní způsob přihlašování, který nahrazuje hesla kryptografickými klíči a umožňuje bezpečné ověření bez sdílených tajemství, phishingu a opakovaného používání přihlašovacích údajů.",
182595692.stdc,2025-12-30T06:59:17.429Z,true,,,newsletter,everyone,See–Think–Do–Care,"Rámec digitální strategie, který rozděluje publikum podle záměru. Slouží návrhu a zlepšování webů i digitálních produktů nejen podle konverzí, ale podle skutečných potřeb lidí.",
182593416.browser,2025-12-25T06:59:00.000Z,true,,,newsletter,everyone,Webový prohlížeč,"Uživatelsky orientovaný software, který načítá, vykresluje a řídí přístup k webu – a tím formuje výkon, bezpečnost i spolupráci pro miliardy lidí.",
182474901.empathy,2025-12-24T06:59:23.909Z,true,,,newsletter,everyone,Empatie,"Systematická snaha porozumět situacím, omezením a cílům uživatelů natolik dobře, aby bylo možné navrhovat rozhraní, která snižují tření a chyby.",
182384047.user-interface,2025-12-23T06:59:27.236Z,true,,,newsletter,everyone,Uživatelské rozhraní,"Uživatelské rozhraní je soubor struktur, ovládacích prvků a zpětné vazby, díky nimž lidé web používají a rozumějí tomu, co se na něm děje.",
182278567.less-is-more,2025-12-24T08:01:19.305Z,true,,,newsletter,everyone,Méně je více,"Princip návrhu, podle něhož odstranění nepodstatných prvků zvyšuje srozumitelnost, plynulost používání a soustředění uživatele tím, že snižuje kognitivní a zrakovou zátěž.",
182278145.depends,2025-12-23T08:01:39.055Z,true,,,newsletter,everyone,To záleží,"Je to odmítnutí jednoduchých odpovědí na složité otázky, a právě proto je tahle hláška tak oblíbená, které připomíná, že odpovědi v designu vždy závisejí na uživatelích, úkolech, kontextu a omezeních.",
182272823.unused-css,2025-12-21T06:59:00.000Z,true,,,newsletter,everyone,Vyčistěte svůj kód s Unused CSS,"Webový nástroj, který automaticky odhalí a odstraní nepoužívané CSS, čímž pomáhá zrychlit načítání stránek a zjednodušit správu webu.",
182269873.fail-fast-learn-faster,2025-12-22T08:02:35.112Z,true,,,newsletter,everyone,"Chybuj rychle, uč se rychleji","Princip, který upřednostňuje rychlé a nízkorizikové experimentování, aby se slabé předpoklady odhalily co nejdříve a výsledky se proměnily v použitelné poznání, nikoli pouhou rychlost práce.",
182267651.william-edmund-hick,2025-12-19T06:59:00.000Z,true,,,newsletter,everyone,William Edmund Hick položil základy designu zaměřeného na člověka,"Britský experimentální psycholog, který ukázal, že lidské rozhodování má měřitelné limity, a tím položil kognitivní základ moderního designu zaměřeného na člověka.",
182205043.mobile-users-are-distracted,2025-12-21T08:01:05.464Z,true,,,newsletter,everyone,Mobilní uživatelé jsou nesoustředění,"Mobilní přístupy k webům a aplikacím se často odehrávají s vyrušeními a v omezených podmínkách, ne proto, že by uživatelům chyběl zájem nebo schopnost soustředit se.",
182202427.scratch-your-own-itch,2025-12-20T06:59:00.000Z,true,,,newsletter,everyone,Vyřeš nejdřív vlastní problém,"Přístup k návrhu produktů, při němž designér vychází z osobně prožívaného problému. Ten slouží jako výchozí signál potřeby, nikoli jako důkaz, že stejný problém mají všichni.",
182124623.task-analysis,2025-12-19T06:59:00.000Z,true,,,newsletter,everyone,Analýza úloh,"Metoda, která popisuje, co uživatelé skutečně dělají, aby dosáhli cíle, a pomáhá navrhovat digitální systémy podle reálné práce, nikoli podle funkcí.",
181938237.storyboarding,2025-12-18T06:59:29.540Z,true,,,newsletter,everyone,Storyboarding,"Zobrazuje uživatelský scénář v čase a pomáhá porozumět kontextu, motivaci a důsledkům dříve, než vznikne rozhraní nebo kód.",
181927989.users-hate-change,2025-12-18T08:01:07.038Z,true,,,newsletter,everyone,Uživatelé nesnášejí změny,"Rozšířená průpovídka v UX, která má vysvětlovat odpor uživatelů k redesignům – ve skutečnosti často popisuje odpor k námaze a ztrátám způsobeným špatně navrženou změnou.",
181927988.you-cannot-manage-what-you-cannot-measure,2025-12-19T06:59:00.000Z,true,,,newsletter,everyone,"Nemůžeš řídit, co neměříš","Zlepšování je možné jen prostřednictvím měření – a v oblasti uživatelské zkušenosti připomíná, že metriky mají smysl pouze tehdy, když skutečně odhalují chování a prožívání uživatelů.",
181835882.to-je-zajimava-hypoteza,2025-12-17T08:02:12.129Z,true,,,newsletter,everyone,To je zajímavá hypotéza!,"Způsob, jak převést nápad zadavatele nebo stakeholdera na ověřitelný předpoklad a posunout debatu od názorů a autority k důkazům a učení.",
181829968.enshittification,2025-12-17T06:59:29.459Z,true,,,newsletter,everyone,Enshitifikace,"Postupné zhoršování služby, při němž se hodnota systematicky přesouvá od uživatelů směrem k provozovateli platformy, obvykle prostřednictvím drobných, postupných změn v návrhu a pravidlech.",
181779872.103,2025-12-29T07:00:04.178Z,true,2025-12-29T07:00:04.448Z,2025-12-29T07:00:04.448Z,newsletter,everyone,UX kalendář 2026. ŘSoW#103,Jak navrhovat nevratné akce. Design thinking bez šablon. Přístupnosti se nelze vzdát. Programátorské zásady pro samouky. Atomic design × OOUX. Jak navrhovat AI rozhraní. Japonský web.,
181748069.usability-debt,2025-12-16T06:59:19.263Z,true,,,newsletter,everyone,Dluh použitelnosti,"Postupně narůstající zátěž, která vzniká tehdy, když web sice technicky funguje, ale dlouhodobě snižuje efektivitu, plynulost a spokojenost uživatelů a nutí je platit daň v podobě ztraceného času.",
181742840.what-users-do,2025-12-16T08:01:21.934Z,true,,,newsletter,everyone,"Sledujte, co uživatelé dělají, ne co říkají","Princip návrhu uživatelského prostředí, který připomíná, že při rozhodování je spolehlivější sledovat skutečné chování než slovní vyjádření.",
181547695.people-ignore-design-that-ignores-people,2025-12-15T08:02:47.654Z,true,,,newsletter,everyone,"Lidé ignorují design, který ignoruje je","Zásada uživatelského designu, podle níž lidé opouštějí rozhraní, která nerespektují jejich cíle, schopnosti a situaci, místo aby se je snažili překonat.",
181545239.url-pattern-analyzer,2025-12-14T06:59:10.271Z,true,,,newsletter,everyone,URL Pattern Analyzer ukáže strukturu adres webu,"Jednoduchá online utilitka, která z URL adres vyčte vzorce a pomůže odhalit strukturu webu.",
181472317.elizabeth-feinler,2025-12-13T06:59:37.785Z,true,,,newsletter,everyone,Elizabeth Feinler – vládkyně internetových domén,"Elizabeth Feinler je počítačovou vědkyní, která stála u vzniku systému WHOIS a domén nejvyšší úrovně. Proměnila raný internet z technického experimentu v použitelný a přehledný systém.",
181453712.consider-the-cost-of-bad-design,2025-12-14T08:02:42.986Z,true,,,newsletter,everyone,"Pokud si myslíte, že dobrý design je drahý, zkuste si spočítat náklady špatného designu","Špatný design vytváří skryté a dlouhodobé náklady, které výrazně převyšují investici do designu kvalitního.",
181427177.a-camel-is-a-horse-designed-by-a-committee,2025-12-13T08:01:52.263Z,true,,,newsletter,everyone,Velbloud je kůň navržený komisí,"Metafora, která popisuje, jak tlak na shodu mění srozumitelný návrh v nesourodý celek.",
181388715.edge-case,2025-12-12T06:59:27.721Z,true,,,newsletter,everyone,Okrajový případ,"Vzácná nebo extrémní uživatelská situace, která odhaluje limity designu a prověřuje jeho odolnost v reálném světě.",
181387276.one-good-test,2025-12-12T08:02:37.935Z,true,,,newsletter,everyone,Jeden dobrý test má větší cenu než tisíc odborných názorů,V návrhu uživatelského zážitku odhalí jeden skutečný test víc pravdy než nekonečné diskuze odborníků.,
181386366.design-challenge,2025-12-11T06:59:00.000Z,true,,,newsletter,everyone,Designová výzva,"Stručná a akční otázka, která proměňuje neurčité cíle projektu v jasný tvůrčí směr.",
181225667.availability-heuristic,2025-12-10T06:59:00.000Z,true,,,newsletter,everyone,Heuristika dostupnosti,"Myšlenková zkratka, kvůli které lidé považují věci za častější nebo důležitější jen proto, že si na ně snadno vzpomínají.",
181225666.kill-your-darlings,2025-12-11T08:00:00.000Z,true,,,newsletter,everyone,Zbav se svých miláčků,"Mějte odvahu opustit to, co máte rádi, když to neslouží celku.",
181150863.not-the-user,2025-12-10T08:01:40.635Z,true,,,newsletter,everyone,Ty nejsi uživatel,"Základní pravidlo UX, že instinkt návrháře je nespolehlivý – jeho zkušenost se zásadně liší od zkušenosti běžných uživatelů.",
181125949.102,2025-12-22T06:59:18.015Z,true,2025-12-22T06:59:18.151Z,2025-12-22T06:59:18.151Z,newsletter,everyone,Co letos odnesl čas. ŘSoW#102,Jakob Nielsen se odnaučil šest věcí. Co dělá návrh dobrým? Kreslete každý den. Zkušenost táhne designéry k byznysu. Google Sans jako open-source. Container queries jsou mocnější. Neroztleskávejte UX.,
181097832.detaily-tvori-design,2025-12-09T08:02:28.476Z,true,,,newsletter,everyone,Detaily tvoří design,"V UX rozhodují i nejmenší detaily – v textu, vizuálu i interakci – o důvěře, spokojenosti a vnímání kvality. ",
181091010.backlink,2025-12-09T06:59:40.766Z,true,,,newsletter,everyone,Zpětný odkaz,"Odkaz z jiného webu na vaše stránky – zůstává jedním z faktorů pro řazení výsledků vyhledávání, ale jeho vliv postupně ustupuje ve prospěch kvality a relevance obsahu.",
180847248.5-users-find-85-percent-of-usability-issues,2025-12-08T08:02:00.484Z,true,,,newsletter,everyone,Pět uživatelů odhalí 85 % problémů,"„Pravidlo pěti uživatelů“ vystihuje podstatu raného testování použitelnosti, ale selhává jako univerzální poučka.",
180839080.downdetector,2025-12-07T06:59:36.837Z,true,,,newsletter,everyone,DownDetector nabízí varování o výpadcích přímo od uživatelů,"Nástroj, který proměňuje hlášení uživatelů v signály o výpadcích.",
180808842.good-design-is-invisible,2025-12-07T08:00:58.618Z,true,,,newsletter,everyone,Dobrý design je neviditelný,"Dobrý design je neviditelný – když funguje, lidé si všimnou výsledku, ne designu samotného.",
180784365.jared-spool,2025-12-06T06:59:28.965Z,true,,,newsletter,everyone,Jared Spool jako morální kompas UX,"Jared Spool – průkopník testování použitelnosti a zastánce důkazně podloženého designu, který utvářel podobu moderního UX.",
180705660.design-solves-problems,2025-12-06T08:02:13.223Z,true,,,newsletter,everyone,Design je řešení problémů,"Oblíbená průpovídka UX designérů, která připomíná, že je třeba vědět, čí problémy vlastně řešíme.",
180651370.ux-is-not-ui,2025-12-05T08:02:36.330Z,true,,,newsletter,everyone,UX není UI,"Rozdíl mezi vzhledem a zážitkem – hezké barvy a písmo nezachrání web, který lidem nedává smysl.",
180612994.conformity-bias,2025-12-05T06:59:33.599Z,true,,,newsletter,everyone,Konformita,"Lidská tendence následovat většinu ovlivňuje chování uživatelů online – může pomoci, ale i uškodit, pokud s ní návrháři nezacházejí čestně.",
180594015.vyfikundace,2025-12-04T06:59:26.868Z,true,,,newsletter,everyone,Vyfikundace,"České slangové slovo, které přesně vystihuje tenkou hranici mezi chytrým vylepšením a zbytečnou složitostí.",
180582750.a-user-interface-is-like-a-joke,2025-12-04T08:01:44.001Z,true,,,newsletter,everyone,Uživatelské rozhraní je jako vtip,"Zásada designu, podle níž by dobré rozhraní – stejně jako dobrý vtip – mělo být pochopitelné okamžitě, bez vysvětlování.",
180556931.design-is-never-finished,2025-12-03T08:02:37.234Z,true,,,newsletter,everyone,Design není nikdy hotový,…jen na chvíli odpočívá mezi iteracemi.,
180501183.feedback-is-a-gift,2025-12-02T08:00:00.000Z,true,,,newsletter,everyone,Zpětná vazba je dárek,"Zpětná vazba je dárek – volně dostupná data, která nám ukazují rozdíl mezi tím, co jsme chtěli, a tím, co lidé skutečně zažívají.",
180495055.posh,2025-12-02T06:59:00.000Z,true,,,newsletter,everyone,POSH (Plain Old Semantic HTML),"Vývojáři v praxi dávají přednost sémantické vrstvě před prezentační – zajišťuje srozumitelnost, přístupnost a dlouhou životnost pomocí standardního HTML.",
180495047.sarah,2025-12-03T06:59:13.809Z,true,,,newsletter,everyone,"SARAH: Shock, Anger, Rejection, Acceptance, Help","Rámec, který vysvětluje, jak lidé emocionálně reagují na změnu – a jak je designéři mohou provést celým procesem.",
180482261.content-is-king,2025-12-01T08:00:00.000Z,true,,,newsletter,everyone,Obsah je král. Kontext je královna.,"V digitálním světě vládne informace – ale jen tehdy, když je doručena ve správný čas, na správném místě a správným způsobem.",
180281575.characters-typography,2025-11-30T06:59:30.714Z,true,,,newsletter,everyone,¿©hara¢ter(s)! – Digitální tahák pro typografickou přesnost,"Rychlý a přehledný nástroj pro psaní správných uvozovek, pomlček a dalších speciálních znaků.",
180274084.paul-fitts,2025-11-29T06:59:00.000Z,true,,,newsletter,everyone,"Paul Fitts – psycholog, který definoval základy interakce člověka s počítačem","Výzkum Paula Fittse změnil chápání pohybu, odezvy a ovládání v uživatelských rozhraních – principy, které dodnes tvoří základ digitálního designu. ",
180139276.uniform-connectedness,2025-11-28T06:59:25.082Z,true,,,newsletter,everyone,Zásada jednotného propojení,Vizuálně propojené prvky vnímáme jako jeden smysluplný celek –⁠ i bez čtení obsahu.,
180110138.101,2025-12-15T06:59:33.934Z,true,2025-12-15T06:59:34.060Z,2025-12-15T06:59:34.060Z,newsletter,everyone,Online adventní kalendáře roku 2025. ŘSoW#101,Přehled adventních kalendářů. Nespoléhejte na barvu. Design bez procesu. AI zabila homepage. UX jako agentura selhává. Výzkum je lepší prožít. Marketplace vytěsňuje e-shopy. Jak na akční dashboardy.,
180076624.point-of-need,2025-11-27T06:59:26.040Z,true,,,newsletter,everyone,Okamžik potřeby,"Point-of-need – návrhářský přístup, který poskytuje pomoc přesně tehdy a tam, kde ji uživatel potřebuje.",
180070507.moravecs-paradox,2025-11-26T06:59:00.000Z,true,,,newsletter,everyone,Moravcův paradox,"Poznatek z robotiky vysvětluje, proč AI zvládne psaní lékařských zpráv, ale potácí se při chůzi – a co z toho plyne pro návrháře.",
179858613.goodharts-law,2025-11-25T06:59:21.361Z,true,,,newsletter,everyone,Goodhartovo pravidlo,"Když se z měřítka stane cíl, přestává být dobrým měřítkem.",
179794432.100,2025-12-08T06:59:38.947Z,true,2025-12-08T06:59:39.100Z,2025-12-08T06:59:39.100Z,newsletter,everyone,Omezte délku řádku textu. ŘSoW#100🎉,Passkey nahradí OTP. UX design pro krize. Jak promptovat tvorbu UI. Nové heuristiky pro AI. Jak škálovat feedback. Recept na design review. GitHub zakázal toast. Řiďte layout délkou řádku. ,
179758930.incentive-calculator,2025-11-23T06:00:00.000Z,true,,,newsletter,everyone,The User Research Incentive Calculator navrhne odměnu pro respondenty uživatelského výzkumu,"Daty podložený nástroj, který pomáhá výzkumníkům UX stanovit férové, transparentní a tržně odpovídající odměny pro účastníky výzkumu.",
179649778.kim-goodwin,2025-11-22T06:59:00.000Z,true,,,newsletter,everyone,Kim Goodwin: Od person k principům,"Průkopnice UX, která přetváří designové vedení skrze organizační etiku, lidské hodnoty a strategický vliv.",
179512436.mcp,2025-11-21T06:59:28.609Z,true,,,newsletter,everyone,Model context protocol,"MCP je otevřený standard propojující umělou inteligenci s nástroji a daty. Umožňuje chytřejší, kontextově informované pracovní postupy v návrhu a vývoji.",
179399172.css,2025-11-20T06:59:37.802Z,true,,,newsletter,everyone,Kaskádové styly,"Jazyk návrhu, který odděluje popis vzhledu webu od jeho struktury a obsahu.",
179331936.websummit-2025,2025-11-16T06:59:00.000Z,true,,,newsletter,everyone,Takový byl Web Summit 2025 v Lisabonu ,"Web Summit 2025 potvrdil posun k vertikální, prakticky zaměřené AI a propojení investic a geopolitických priorit. Lisabon se na tři dny stal nervovým centrem technologických a strategických inovací.",
179253301.persona,2025-11-19T06:59:10.666Z,true,,,newsletter,everyone,Persona,"UX persona je fiktivní archetyp založený na reálných datech o uživatelích – pomáhá činit lepší návrhová rozhodnutí tím, že reprezentuje vzorce chování, nikoliv domněnky.",
